Timestamp,Bid Ask Ratio
2024-10-31 16:09:58,1.52
2024-10-31 16:20:00,1.05
2024-10-31 16:30:03,0.92
2024-10-31 16:40:05,0.89
2024-10-31 16:50:07,1.64
2024-10-31 17:00:09,1.44
2024-10-31 17:10:11,1.11
2024-10-31 17:20:13,0.98
2024-10-31 17:30:15,1.0
2024-10-31 17:40:17,1.22
2024-10-31 17:50:18,1.11
2024-10-31 18:00:20,1.36
2024-10-31 18:10:23,1.25
2024-10-31 18:20:25,1.23
2024-10-31 18:30:27,1.03
2024-10-31 18:40:29,1.26
2024-10-31 18:50:31,1.3
2024-10-31 19:00:33,1.19
2024-10-31 19:10:35,1.04
2024-10-31 19:20:37,1.74
2024-10-31 19:30:39,1.63
2024-10-31 19:40:41,1.98
2024-10-31 19:50:43,1.71
2024-10-31 20:00:45,1.64
2024-10-31 20:10:47,1.08
2024-10-31 20:20:49,1.42
2024-10-31 20:30:51,1.26
2024-10-31 20:40:53,1.67
2024-10-31 20:50:56,1.83
2024-10-31 21:00:58,2.9
2024-10-31 21:11:00,1.93
2024-10-31 21:21:02,2.27
2024-10-31 21:31:04,2.07
2024-10-31 21:41:06,2.12
2024-10-31 21:51:08,1.99
2024-10-31 22:01:10,1.43
2024-10-31 22:11:12,1.85
2024-10-31 22:21:15,1.73
2024-10-31 22:31:18,1.41
2024-10-31 22:41:19,1.45
2024-10-31 22:51:21,1.0
2024-10-31 23:01:23,1.0
2024-10-31 23:11:25,1.13
2024-10-31 23:21:27,1.38
2024-10-31 23:31:30,1.15
2024-10-31 23:41:32,1.15
2024-10-31 23:51:34,1.17
2024-11-01 00:01:36,1.17
2024-11-01 00:11:38,0.92
2024-11-01 00:21:40,1.31
2024-11-01 00:31:42,1.05
2024-11-01 00:41:44,1.03
2024-11-01 00:51:46,0.94
2024-11-01 01:01:48,0.87
2024-11-01 01:11:50,1.46
2024-11-01 01:21:52,1.03
2024-11-01 01:31:54,1.1
2024-11-01 01:41:56,1.22
2024-11-01 01:51:58,1.14
2024-11-01 02:02:00,1.24
2024-11-01 02:12:02,1.24
2024-11-01 02:22:05,1.28
2024-11-01 02:32:07,1.68
2024-11-01 02:42:09,1.31
2024-11-01 02:52:11,1.69
2024-11-01 03:02:13,3.02
2024-11-01 03:12:15,2.02
2024-11-01 03:22:17,1.86
2024-11-01 03:32:19,1.15
2024-11-01 03:42:21,1.33
2024-11-01 03:52:23,1.2
2024-11-01 04:02:25,0.71
2024-11-01 04:12:27,0.71
2024-11-01 04:22:29,0.62
2024-11-01 04:32:32,0.65
2024-11-01 04:42:34,0.6
2024-11-01 04:52:36,0.66
2024-11-01 05:02:38,0.54
2024-11-01 05:12:39,0.59
2024-11-01 05:22:42,0.79
2024-11-01 05:32:44,0.97
2024-11-01 05:42:46,0.86
2024-11-01 05:52:48,0.77
2024-11-01 06:02:50,0.88
2024-11-01 06:12:52,0.81
2024-11-01 06:22:54,0.83
2024-11-01 06:32:56,0.89
2024-11-01 06:42:58,0.95
2024-11-01 06:53:00,0.86
2024-11-01 07:03:02,1.0
2024-11-01 07:13:04,0.72
2024-11-01 07:23:06,0.73
2024-11-01 07:33:08,0.84
2024-11-01 07:43:10,0.9
2024-11-01 07:53:12,0.85
2024-11-01 08:03:14,1.35
2024-11-01 08:13:16,1.17
2024-11-01 08:23:18,1.37
2024-11-01 08:33:20,1.34
2024-11-01 08:43:22,1.37
2024-11-01 08:53:24,1.38
2024-11-01 09:03:27,1.45
2024-11-01 09:13:29,1.15
2024-11-01 09:23:31,1.11
2024-11-01 09:33:33,1.11
2024-11-01 09:43:34,1.07
